#Cluster E(B - V)        rmax    g       i       (g - i)0        MV      (V - I)0        rh      Quality Notes
#name            (arcsec)                                                (pc)    Flag    
PAndAS-1        0.099   14.8    17.55   16.74   0.62    -7.48   0.83    7.1     A       -
PAndAS-2        0.106   19.2    18.30   17.29   0.70    -6.82   0.90    25.7    A       -
PAndAS-3        0.087   13.9    20.89   19.90   0.65    -4.17   0.86    27.4    B       c
PAndAS-4        0.133   14.1    18.07   17.17   0.69    -7.09   0.89    4.7     A       -
PAndAS-5        0.078   11.8    19.94   19.08   0.79    -5.05   0.97    17.0    A       c
PAndAS-6        0.068   14.1    16.92   16.15   0.67    -8.02   0.87    4.4     A       -
PAndAS-7        0.088   11.8    20.18   18.77   0.70    -5.00   0.89    13.3    A       c
PAndAS-8        0.109   10.4    19.89   18.29   0.87    -5.40   1.03    9.5     A       -
PAndAS-9        0.090   5.2     18.23   17.51   0.62    -6.75   0.83    3.8     C       b,r*
PAndAS-10       0.094   12.2    19.61   18.75   0.75    -5.43   0.93    15.2    A       c
PAndAS-11       0.088   12.6    18.29   17.41   0.67    -6.74   0.87    9.4     A       -
PAndAS-12       0.060   7.4     19.63   18.72   0.75    -5.33   0.94    13.7    B       e,r
PAndAS-13       0.063   7.4     18.43   17.66   0.65    -6.49   0.85    4.7     B       m,b,r
PAndAS-14       0.069   12.6    17.93   17.17   0.71    -7.01   0.90    10.9    A       -
PAndAS-15       0.069   3.7     19.92   19.08   0.74    -5.04   0.93    6.0     C       b,e,r*
PAndAS-16       0.072   16.3    16.54   15.66   0.79    -8.44   0.97    5.5     A       -
PAndAS-17       0.067   14.1    16.87   15.77   1.00    -8.17   1.14    4.4     A       -
PAndAS-18       0.062   14.8    19.61   18.71   0.76    -5.35   0.94    23.0    A       c
PAndAS-19       0.055   8.1     20.17   19.39   0.72    -4.73   0.91    7.3     A       -
PAndAS-20       0.067   8.1     19.57   18.58   0.83    -5.43   1.00    7.4     A       -
PAndAS-21       0.054   14.1    17.84   17.06   0.67    -7.06   0.87    4.0     A       -
PAndAS-22       0.063   10.4    18.79   17.87   0.91    -6.18   1.06    7.3     A       -
PAndAS-23       0.054   6.7     19.98   18.89   1.04    -5.02   1.17    6.7     A       -
PAndAS-24       0.059   11.8    20.27   19.39   0.73    -4.68   0.91    16.9    A       c
PAndAS-25       0.064   4.8     19.78   18.80   0.88    -5.21   1.04    6.6     B       b,r
PAndAS-26       0.061   5.6     19.88   18.92   0.94    -5.10   1.09    7.4     B       e,r
PAndAS-27       0.075   14.8    17.31   16.41   0.75    -7.69   0.93    5.2     A       -
PAndAS-28       0.066   8.3     19.26   18.56   0.64    -5.65   0.85    12.7    B       f,r
PAndAS-29       0.058   5.2     20.58   19.75   0.72    -4.35   0.91    10.7    B       c,f,r
PAndAS-30       0.064   7.4     19.57   18.58   0.79    -5.42   0.96    10.9    A       c
PAndAS-31       0.073   9.3     20.62   19.60   0.82    -4.41   0.99    18.5    B       c,m
PAndAS-32       0.075   6.7     19.48   18.37   0.97    -5.58   1.11    8.0     B       f,r
PAndAS-33       0.059   18.5    19.56   18.67   0.68    -5.39   0.88    35.8    B       c,b
PAndAS-34       0.068   12.6    18.37   17.38   0.81    -6.64   0.98    10.4    A       -
PAndAS-35       0.086   5.2     19.91   18.59   1.09    -5.24   1.21    10.3    B       c,f,r
PAndAS-36       0.073   10.4    17.69   16.79   0.75    -7.30   0.94    5.8     A       -
PAndAS-37       0.057   9.6     17.66   16.56   1.00    -7.35   1.13    4.6     A       -
PAndAS-38       0.159   13.9    20.76   19.75   0.61    -4.50   0.83    24.4    B       c,m
PAndAS-39       0.086   9.6     18.85   17.90   0.88    -6.19   1.04    13.0    B       c,f,r
PAndAS-40       0.058   10.0    19.80   18.97   0.77    -5.13   0.95    10.0    A       -
PAndAS-41       0.096   -       -       -       -       -       -       -       D       e,r*
PAndAS-42       0.060   15.5    18.54   17.04   0.89    -6.59   1.05    15.4    C       c,b
PAndAS-43       0.093   4.4     19.79   18.85   0.79    -5.27   0.97    6.0     B       c,e,r
PAndAS-44       0.062   9.6     17.18   16.48   0.61    -7.72   0.82    3.1     A       -
PAndAS-45       0.083   7.4     20.97   20.05   0.79    -4.06   0.96    8.9     B       c
PAndAS-46       0.072   16.3    16.27   15.52   0.64    -8.67   0.85    4.3     B       s
PAndAS-47       0.070   5.6     19.39   18.26   1.01    -5.66   1.14    3.8     A       -
PAndAS-48       0.066   13.7    20.21   19.41   0.59    -4.73   0.81    21.2    A       c
PAndAS-49       0.067   11.1    20.24   19.11   0.92    -4.81   1.07    16.4    A       -
PAndAS-50       0.163   14.8    18.93   17.78   0.95    -6.38   1.10    17.1    A       -
PAndAS-51       0.074   -       -       -       -       -       -       -       D       e,x
PAndAS-52       0.063   13.3    17.38   16.49   0.78    -7.58   0.96    6.5     B       b
PAndAS-53       0.053   12.6    15.79   15.07   0.64    -9.09   0.85    4.2     B       s,b,r
PAndAS-54       0.053   12.6    16.30   15.57   0.63    -8.58   0.84    5.1     C       b,m
PAndAS-55       0.070   -       -       -       -       -       -       -       D       e,x
PAndAS-56       0.050   14.1    17.27   16.45   0.70    -7.63   0.89    4.7     A       -
PAndAS-57       0.066   8.9     19.24   18.44   0.71    -5.70   0.91    10.3    A       c
PAndAS-58       0.062   11.5    18.82   17.83   0.88    -6.17   1.04    9.3     A       -
PAndAS-59       0.068   3.7     19.96   19.32   0.53    -4.93   0.76    5.6     B       f,r
PAndAS-Ca1      0.067   4.4     20.84   20.27   0.45    -4.03   0.70    8.1     B       f,r
PAndAS-Ca2      0.175   4.4     20.02   19.08   0.65    -5.26   0.86    10.4    C       e,r*
G1      0.057   32.6    14.17   13.23   0.77    -10.79  0.95    8.7     B       s,b,m
G2      0.052   25.2    15.97   15.21   0.67    -8.92   0.87    5.0     B       s
G339    0.093   11.8    17.47   16.55   0.75    -7.58   0.94    5.3     A       -
G353    0.082   10.4    17.39   16.58   0.67    -7.60   0.87    4.8     A       -
B514    0.058   25.2    16.02   15.17   0.77    -8.91   0.95    6.6     A       -
EXT8    0.068   15.5    15.79   14.58   0.56    -9.28   0.79    4.3     B       s
MGC1    0.086   37.4    15.60   14.15   0.71    -9.59   0.91    8.8     A       -
H1      0.070   18.5    16.25   15.45   0.68    -8.70   0.88    4.5     B       s
H2      0.059   18.5    17.43   16.60   0.73    -7.50   0.91    5.2     A       -
H3      0.069   8.9     18.48   17.53   0.85    -6.52   1.01    5.5     A       -
H4      0.073   17.0    17.17   16.28   0.74    -7.82   0.93    5.4     A       -
H5      0.075   17.0    16.51   15.76   0.64    -8.44   0.85    9.5     A       -
H7      0.057   17.0    17.76   16.92   0.73    -7.17   0.92    10.5    A       -
